"TIME","GEO","GEO_LABEL","UNIT","AGE","SEX","SEVERITY","Value","Flag and Footnotes"
"2014","BE","Belgium","Number","Total","Total","Fatal","45","b"
"2008","BG","Bulgaria","Number","Total","Total","Fatal","137",""
"2009","BG","Bulgaria","Number","Total","Total","Fatal","78",""
"2010","BG","Bulgaria","Number","Total","Total","Fatal","83",""
"2011","BG","Bulgaria","Number","Total","Total","Fatal","84",""
"2012","BG","Bulgaria","Number","Total","Total","Fatal","90",""
"2013","BG","Bulgaria","Number","Total","Total","Fatal","72",""
"2014","BG","Bulgaria","Number","Total","Total","Fatal","110",""
"2008","CZ","Czech Republic","Number","Total","Total","Fatal","162",""
"2009","CZ","Czech Republic","Number","Total","Total","Fatal","91",""
"2010","CZ","Czech Republic","Number","Total","Total","Fatal","115",""
"2011","CZ","Czech Republic","Number","Total","Total","Fatal","134",""
"2012","CZ","Czech Republic","Number","Total","Total","Fatal","104",""
"2013","CZ","Czech Republic","Number","Total","Total","Fatal","110",""
"2014","CZ","Czech Republic","Number","Total","Total","Fatal","101",""
"2008","DK","Denmark","Number","Total","Total","Fatal","38",""
"2009","DK","Denmark","Number","Total","Total","Fatal","31",""
"2010","DK","Denmark","Number","Total","Total","Fatal","36",""
"2011","DK","Denmark","Number","Total","Total","Fatal","41",""
"2012","DK","Denmark","Number","Total","Total","Fatal","43",""
"2013","DK","Denmark","Number","Total","Total","Fatal","30",""
"2014","DK","Denmark","Number","Total","Total","Fatal","28",""
"2008","DE","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Fatal","578",""
"2009","DE","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Fatal","454",""
"2010","DE","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Fatal","536",""
"2011","DE","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Fatal","469",""
"2012","DE","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Fatal","473",""
"2013","DE","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Fatal","422",""
"2014","DE","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Fatal","471",""
"2008","EE","Estonia","Number","Total","Total","Fatal","16",""
"2009","EE","Estonia","Number","Total","Total","Fatal","13",""
"2010","EE","Estonia","Number","Total","Total","Fatal","15",""
"2011","EE","Estonia","Number","Total","Total","Fatal","16",""
"2012","EE","Estonia","Number","Total","Total","Fatal","11",""
"2013","EE","Estonia","Number","Total","Total","Fatal","18",""
"2014","EE","Estonia","Number","Total","Total","Fatal","13",""
"2008","IE","Ireland","Number","Total","Total","Fatal","47",""
"2009","IE","Ireland","Number","Total","Total","Fatal","31",""
"2010","IE","Ireland","Number","Total","Total","Fatal","40",""
"2011","IE","Ireland","Number","Total","Total","Fatal","47",""
"2012","IE","Ireland","Number","Total","Total","Fatal","42",""
"2013","IE","Ireland","Number","Total","Total","Fatal","36",""
"2014","IE","Ireland","Number","Total","Total","Fatal","45",""
"2008","EL","Greece","Number","Total","Total","Fatal","55",""
"2009","EL","Greece","Number","Total","Total","Fatal","28",""
"2010","EL","Greece","Number","Total","Total","Fatal","30",""
"2011","EL","Greece","Number","Total","Total","Fatal","34",""
"2012","EL","Greece","Number","Total","Total","Fatal","25",""
"2013","EL","Greece","Number","Total","Total","Fatal","20",""
"2014","EL","Greece","Number","Total","Total","Fatal","25","b"
"2008","ES","Spain","Number","Total","Total","Fatal","496",""
"2009","ES","Spain","Number","Total","Total","Fatal","354",""
"2010","ES","Spain","Number","Total","Total","Fatal","314",""
"2011","ES","Spain","Number","Total","Total","Fatal","336",""
"2012","ES","Spain","Number","Total","Total","Fatal","273",""
"2013","ES","Spain","Number","Total","Total","Fatal","232",""
"2014","ES","Spain","Number","Total","Total","Fatal","247",""
"2008","FR","France","Number","Total","Total","Fatal","259",""
"2009","FR","France","Number","Total","Total","Fatal","492",""
"2010","FR","France","Number","Total","Total","Fatal","456",""
"2011","FR","France","Number","Total","Total","Fatal","501",""
"2012","FR","France","Number","Total","Total","Fatal","524",""
"2013","FR","France","Number","Total","Total","Fatal","492",""
"2014","FR","France","Number","Total","Total","Fatal","517","b"
"2008","HR","Croatia","Number","Total","Total","Fatal",":",""
"2009","HR","Croatia","Number","Total","Total","Fatal",":",""
"2010","HR","Croatia","Number","Total","Total","Fatal","33",""
"2011","HR","Croatia","Number","Total","Total","Fatal","37",""
"2012","HR","Croatia","Number","Total","Total","Fatal","50",""
"2013","HR","Croatia","Number","Total","Total","Fatal","26",""
"2014","HR","Croatia","Number","Total","Total","Fatal","22",""
"2008","IT","Italy","Number","Total","Total","Fatal","740",""
